User ID,Gender,Age,EstimatedSalary,Purchased
10752532,Male,21,86000,0
16270254,Female,28,84000,0
10054865,Male,27,45000,1
17203349,Female,18,46000,0
10349442,Male,49,82000,1
14545717,Male,53,119000,1
14302541,Female,29,126000,0
12370372,Male,18,41000,1
19200834,Male,47,27000,0
10631481,Male,38,108000,0
12662354,Female,29,22000,1
12269265,Female,42,131000,1
10585974,Female,56,36000,0
16377601,Male,59,131000,0
14142887,Female,57,68000,0
19779022,Male,55,89000,1
14348226,Female,44,123000,0
16538559,Male,25,65000,1
14943273,Male,28,109000,0
19185367,Male,54,107000,0
11530983,Female,57,49000,1
16198442,Female,52,73000,0
13915984,Male,43,70000,1
16646741,Male,35,87000,0
15603835,Female,31,149000,0
11670428,Male,39,126000,0
19406262,Male,28,77000,0
13306206,Male,54,114000,0
15882974,Female,46,49000,1
10154896,Female,40,33000,0
14982118,Male,57,68000,1
10622021,Female,58,110000,1
12975338,Female,36,145000,1
11227969,Female,35,124000,0
11611111,Male,20,97000,1
17680325,Male,38,148000,0
14249551,Male,56,138000,1
12361994,Male,37,65000,1
15921113,Male,34,61000,1
13356917,Male,31,107000,1
13172594,Male,40,134000,0
17682816,Male,28,91000,0
13785291,Female,50,53000,0
10406511,Male,25,135000,1
16539173,Male,54,58000,1
16499723,Female,43,67000,0
14286160,Male,50,102000,1
16326540,Female,51,54000,0
10413507,Female,56,77000,1
10123486,Female,20,118000,0
14709434,Female,56,85000,1
11349410,Female,48,95000,0
10082378,Male,38,31000,1
17432185,Female,35,23000,1
17844633,Female,27,22000,0
14234811,Female,49,91000,1
16673025,Male,39,145000,0
17976673,Female,56,150000,1
19510122,Female,19,92000,0
10878535,Male,25,57000,1
15008073,Female,24,73000,1
10996506,Male,31,43000,0
19915059,Female,54,55000,0
19448307,Male,49,20000,0
17560550,Male,52,104000,1
13549633,Male,48,27000,1
17271749,Female,39,37000,1
14147802,Male,55,84000,1
12075710,Male,46,15000,0
16459003,Female,41,24000,1
11456469,Male,52,26000,1
18132474,Female,19,87000,0
10243499,Female,21,59000,1
13624304,Male,26,58000,1
13380205,Male,34,36000,0
13910042,Female,45,24000,0
19590891,Male,34,79000,0
15306544,Male,48,38000,1
15137743,Female,48,67000,1
16002567,Female,19,35000,0
17312698,Male,36,49000,1
19832202,Female,33,104000,0
19878888,Male,29,68000,0
17294910,Male,26,70000,0
19488403,Female,20,54000,0
17249465,Male,59,64000,1
13350109,Female,35,89000,1
10301831,Male,41,43000,1
12941904,Female,40,59000,1
19603774,Female,44,150000,0
17439551,Male,51,87000,1
16726480,Male,41,26000,1
14945879,Female,29,107000,1
18622169,Female,25,142000,1
10427504,Female,36,67000,0
17610997,Female,36,78000,0
11472160,Male,58,87000,0
16425702,Female,46,21000,0
11491159,Female,38,69000,0
11633427,Male,54,149000,0
19291850,Male,46,137000,0
11520918,Female,23,135000,1
15765917,Female,45,90000,0
16876851,Female,53,97000,1
13821097,Female,19,86000,0
11753729,Male,28,82000,1
18786066,Female,28,38000,0
11385603,Female,51,108000,0
11155023,Female,50,45000,0
18733631,Male,58,38000,0
18675851,Female,27,112000,0
16835124,Male,46,15000,1
18610768,Male,49,107000,1
19131284,Male,26,133000,1
14736194,Male,54,71000,1
10990591,Female,23,93000,1
19416077,Male,43,21000,0
16347658,Male,19,84000,0
10062167,Female,56,128000,0
10329941,Male,37,114000,0
13650317,Male,46,30000,1
12193294,Female,50,120000,0
18901136,Female,20,47000,0
12386419,Male,21,147000,1
18636611,Male,40,32000,1
14639899,Male,41,147000,0
11304386,Female,33,133000,1
11919605,Female,31,135000,1
15162224,Female,44,119000,0
14826056,Male,55,145000,0
17425793,Female,28,138000,1
15878249,Male,33,101000,0
19745583,Female,52,104000,1
18124979,Male,45,108000,0
13850783,Male,46,36000,1
17311143,Female,49,46000,0
12978255,Male,27,68000,0
14077272,Female,36,67000,0
10975741,Female,45,56000,0
14997820,Male,39,58000,1
10508256,Male,27,136000,0
17381599,Female,24,79000,1
17871484,Female,42,146000,0
10783078,Female,20,77000,0
13599618,Male,44,36000,0
19014825,Female,29,73000,0
17988609,Male,30,78000,0
11658212,Female,39,37000,1
13571118,Female,57,60000,1
16044833,Male,25,145000,0
16178442,Male,57,20000,1
16530532,Female,56,31000,1
11218636,Male,36,68000,1
10526498,Male,54,91000,0
19887254,Male,32,106000,0
19040837,Female,29,18000,0
17540947,Female,31,85000,1
13751673,Male,23,123000,1
10540564,Male,43,150000,0
13782716,Male,19,92000,1
16980719,Female,47,133000,0
19167763,Female,31,105000,1
11361306,Female,34,15000,0
17624107,Female,58,87000,0
11855375,Male,39,145000,0
19071244,Male,56,84000,1
11155627,Female,30,120000,0
12402005,Male,19,112000,1
14057167,Female,50,101000,1
16906267,Female,38,53000,1
14888932,Female,41,134000,1
14370533,Male,19,64000,1
11952396,Male,27,30000,0
14814072,Female,21,27000,1
15185717,Male,52,120000,1
10652554,Female,19,20000,0
12201966,Male,45,70000,0
12845607,Female,46,111000,1
17683609,Female,58,118000,1
12082533,Male,35,61000,0
10327648,Female,46,65000,1
18084448,Male,38,130000,1
12474992,Female,47,82000,0
10980694,Male,45,85000,1
16944028,Male,26,35000,0
11351524,Male,25,57000,1
15830621,Male,37,113000,0
12441621,Female,59,48000,0
12821933,Female,41,129000,1
14860502,Male,52,105000,0
10075137,Male,46,120000,0
12228358,Female,30,142000,1
14275957,Male,43,25000,0
17865898,Male,49,45000,0
15377030,Female,52,132000,0
14743710,Male,22,114000,1
12960458,Female,30,123000,0
18915002,Male,41,118000,1
12991993,Female,23,17000,0
19686975,Female,21,48000,1
14713598,Female,29,74000,0
16125074,Male,57,116000,0
16998988,Female,29,95000,1
10871938,Male,30,128000,0
16926661,Female,50,126000,0
15630330,Female,55,41000,1
18348966,Male,39,105000,0
19506172,Male,26,94000,1
15832635,Female,18,45000,0
14554528,Male,46,82000,1
18047108,Male,44,91000,0
16105220,Female,20,132000,0
17637073,Female,56,45000,1
18321823,Male,49,133000,0
13120274,Male,45,17000,1
14365759,Male,34,44000,0
19371102,Female,28,46000,0
11469892,Female,48,105000,1
12243493,Female,45,103000,1
14587037,Female,45,62000,0
14720897,Female,26,54000,1
10911266,Male,55,111000,0
16097169,Male,56,23000,0
17681490,Male,29,16000,0
13904573,Male,28,107000,0
15826735,Male,23,84000,0
13407993,Female,56,128000,1
19504938,Male,23,36000,1
10902204,Male,40,75000,0
13863999,Female,34,125000,1
17976093,Male,50,100000,1
18386513,Female,38,131000,1
14144396,Male,33,149000,0
12257773,Female,57,21000,1
17341627,Female,37,34000,1
17146688,Female,56,22000,1
16636478,Male,52,26000,1
12946540,Female,31,43000,0
11093762,Male,28,71000,0
12867431,Female,29,45000,1
17259620,Male,43,82000,0
17097211,Female,37,114000,1
13143311,Male,44,149000,0
19948832,Male,35,115000,1
18963729,Female,39,102000,0
11407077,Male,28,20000,0
11106241,Female,18,107000,0
18058404,Male,27,21000,1
11844698,Male,35,22000,1
10720241,Male,44,81000,1
11750591,Female,34,53000,0
12516837,Female,50,21000,1
11293263,Male,19,112000,1
15611359,Male,30,18000,0
13934786,Male,59,131000,0
11862380,Male,38,78000,0
19604120,Male,24,145000,0
12313661,Male,53,139000,1
17815033,Male,42,29000,1
17515764,Female,49,111000,0
11674202,Male,51,20000,1
15105204,Female,24,141000,1
17984431,Female,28,36000,0
12077388,Female,50,44000,0
17563250,Female,35,55000,0
11573163,Female,54,24000,0
13146212,Male,28,52000,1
12198781,Female,31,53000,1
17864271,Male,54,142000,0
14997168,Female,38,115000,0
13578358,Male,46,65000,1
11807162,Female,52,95000,0
17331143,Female,47,74000,0
18898121,Female,34,58000,1
15397044,Male,41,67000,1
12864236,Male,39,18000,0
14651098,Female,53,71000,1
13580558,Male,18,50000,0
19927012,Male,21,113000,0
10780083,Male,54,72000,1
16369452,Female,19,137000,0
13504012,Male,58,125000,0
18123795,Male,29,15000,0
11953214,Male,44,54000,1
11573267,Male,18,48000,1
12114558,Male,27,143000,0
13010468,Female,56,70000,1
17019661,Female,25,101000,1
19511549,Male,52,16000,0
10077814,Female,28,34000,0
16164041,Female,57,104000,1
17709003,Male,25,31000,0
11238065,Female,22,31000,1
13067481,Female,51,92000,0
16572542,Male,44,118000,0
18663913,Male,38,58000,0
18424289,Female,53,76000,0
12861473,Female,57,79000,0
17920812,Male,18,92000,0
13894926,Female,30,107000,1
13393505,Female,59,138000,1
18173669,Male,51,62000,0
16827898,Female,45,149000,1
16974190,Female,55,150000,0
16195551,Male,58,110000,0
15014261,Female,33,27000,0
11677046,Female,57,44000,0
12504903,Male,49,66000,0
14002492,Male,21,99000,1
16013844,Female,41,22000,1
11041260,Male,55,100000,1
19228898,Male,54,15000,0
14079893,Male,28,29000,0
18339577,Female,46,105000,1
19514291,Female,26,37000,1
13676736,Male,46,130000,1
18248584,Female,44,107000,1
19777245,Female,18,105000,1
16645155,Male,49,21000,0
13604818,Male,45,49000,1
10699011,Female,33,123000,0
13375278,Male,49,74000,0
16603307,Female,42,143000,0
13595144,Female,37,97000,1
11521681,Male,20,143000,1
19795661,Female,18,114000,0
17432996,Female,34,69000,1
19113071,Female,54,71000,0
19912754,Male,39,112000,0
10854299,Female,38,149000,0
15088137,Female,44,35000,0
17378174,Male,58,145000,0
19931074,Female,21,121000,0
10689926,Male,38,144000,1
19700383,Female,23,51000,1
14140845,Female,19,94000,1
15898442,Female,56,40000,1
17003409,Male,31,50000,1
11193091,Female,55,145000,1
15896938,Male,49,96000,1
18638105,Female,58,54000,1
13854899,Male,56,69000,0
11856495,Male,50,115000,1
15971278,Female,41,33000,0
14537196,Male,57,95000,1
12914465,Male,49,57000,0
14615692,Female,35,90000,1
13948667,Male,50,117000,1
19327151,Female,44,24000,1
16710789,Female,26,64000,1
13783632,Male,59,72000,0
18702336,Female,49,60000,1
10159157,Female,19,125000,0
14353116,Male,21,67000,1
13010325,Male,33,105000,1
14509578,Male,41,102000,0
12595393,Female,57,64000,0
14206107,Female,27,20000,0
13197465,Female,37,145000,0
10456004,Male,32,56000,0
14841838,Female,32,27000,1
11451420,Female,35,106000,1
19311569,Female,21,32000,1
13556535,Female,35,107000,0
17322382,Female,43,35000,1
13901976,Male,58,87000,1
11242475,Male,37,64000,0
11133883,Male,47,44000,1
15570124,Female,41,100000,1
19536053,Female,18,77000,0
12061877,Female,46,43000,0
14938418,Female,43,147000,1
14590892,Male,49,40000,1
18897717,Male,22,83000,0
19128629,Male,30,131000,0
13808864,Male,40,86000,0
18526784,Female,55,147000,0
13418904,Female,52,143000,1
16104183,Female,38,65000,0
11448550,Female,49,126000,1
11451380,Male,40,37000,1
18624611,Female,22,67000,1
19396466,Male,28,96000,0
12473591,Male,23,104000,1
14239726,Female,58,64000,1
14720376,Male,50,101000,0
11055464,Male,24,69000,0
15656624,Male,35,87000,1
18445995,Female,35,63000,1
11670621,Female,22,43000,1
19401478,Male,30,104000,1
18626939,Male,20,47000,1
18260671,Female,51,136000,0
14263877,Female,54,143000,1
15898441,Female,40,54000,1
14021320,Female,44,134000,0
16665252,Female,28,85000,1
13526466,Male,22,117000,1
18522233,Male,51,61000,1
15166594,Female,34,24000,1
19079364,Female,55,141000,1
12927578,Male,30,83000,1
19238370,Male,44,24000,0
19745928,Male,40,79000,0
12809665,Male,24,97000,1
15249585,Female,40,60000,1
17875136,Male,42,125000,1
16783268,Female,27,120000,0
15988055,Male,47,28000,0
12089988,Male,26,114000,0
13180091,Male,22,148000,0
15342130,Female,29,96000,1
17449404,Female,54,127000,1
10109706,Female,39,141000,0
13215774,Male,53,16000,0
15109418,Male,51,122000,1
11979612,Female,21,52000,1
16703826,Male,25,47000,1
19182221,Female,58,73000,0
16297377,Female,36,88000,0
14842658,Female,30,116000,1
19773007,Male,55,93000,0
10701991,Female,56,63000,1
17104121,Female,50,31000,1
12606117,Male,42,38000,1
12884464,Male,36,22000,1
19096153,Male,25,123000,0
15124594,Male,19,27000,1
10383927,Female,23,142000,1
13378811,Female,29,17000,0
16152694,Female,59,145000,0
15165932,Male,37,33000,0
15135282,Male,23,107000,1
11737466,Male,55,148000,1
14544335,Female,45,124000,0
16427842,Male,53,138000,1
18886669,Female,42,140000,0
10955785,Female,29,129000,1
10425356,Male,57,58000,0
13130645,Female,48,89000,1
18117459,Male,40,53000,0
13816688,Male,47,27000,0
17960971,Male,25,40000,1
10025222,Male,35,57000,1
12590840,Male,45,88000,1
16939027,Male,45,139000,0
13459995,Male,22,124000,0
16296077,Female,33,107000,1
18463213,Male,53,60000,1
19420582,Male,57,18000,0
17147236,Female,24,89000,0
17218928,Female,28,72000,0
15628319,Male,27,132000,1
12481209,Female,48,150000,1
11184367,Female,35,70000,0
11871311,Female,18,113000,0
15482441,Female,46,35000,0
14441077,Female,55,95000,0
16623094,Female,20,32000,1
13862898,Female,53,56000,1
10131678,Female,25,69000,0
16363244,Male,22,37000,0
14394072,Female,51,47000,0
10324866,Female,39,102000,0
13263072,Male,27,92000,1
18935643,Female,38,104000,0
19096462,Female,25,49000,0
18662126,Male,20,109000,1
16016705,Male,24,135000,1
17283353,Male,39,89000,0
18663365,Female,55,18000,1
10215644,Female,57,46000,1
16239702,Male,19,139000,1
12247323,Male,30,84000,1
19681498,Female,40,147000,0
17820217,Male,49,56000,0
10336370,Male,40,138000,0
14646043,Male,51,58000,0
17847605,Female,28,148000,1
12736999,Male,26,136000,0
13403135,Female,40,52000,0
19891674,Female,58,70000,1
11099364,Male,31,99000,0
19660214,Female,36,135000,1
11145176,Female,18,134000,1
14529822,Male,45,114000,1
14036769,Female,22,42000,0
15838728,Female,25,142000,0
17295318,Female,59,112000,0
14968911,Male,27,132000,0
19942136,Male,30,94000,0
13657071,Male,51,23000,1
14931079,Female,57,110000,1
15257964,Female,30,116000,0
19127939,Female,47,105000,1
13092244,Female,50,51000,0
12576796,Male,57,30000,0
11871707,Female,49,99000,1
11499215,Male,38,32000,0
15381227,Male,47,72000,0
11843645,Male,34,62000,0
13122457,Male,31,25000,0
10025923,Male,28,141000,0
13244903,Male,58,78000,1
17304091,Male,30,109000,1
12508437,Male,53,29000,0
18033347,Male,50,65000,0
18380822,Male,46,94000,0
13976301,Female,32,101000,0
15527159,Male,47,108000,0
11892274,Female,24,46000,0
10411822,Male,59,121000,0
14377131,Female,59,23000,0
10152814,Female,40,127000,1
15193668,Female,59,81000,0
16174768,Male,35,29000,0
14284961,Male,45,21000,1
17758101,Female,23,99000,1
15868957,Male,27,93000,1
10395965,Female,22,36000,0
15699198,Female,42,68000,0
19525225,Male,32,137000,0
14659889,Female,43,146000,0
17862531,Female,23,122000,0
10178715,Male,29,40000,1
11844473,Female,21,96000,1
13187941,Female,38,52000,1
18904770,Female,35,140000,0
12932498,Male,58,97000,0
18618829,Female,36,82000,0
15507639,Male,49,37000,0
18804246,Female,39,41000,1
18096919,Female,53,75000,0
11629217,Female,36,90000,1
10541054,Male,22,116000,0
13398706,Female,38,105000,1
10759858,Female,47,139000,0
13038189,Female,43,60000,1
14097276,Male,50,72000,0
12688460,Female,29,52000,1
14512960,Female,29,142000,0
11737356,Female,27,70000,1
12475368,Female,55,82000,0
19509370,Female,37,52000,1
15025360,Female,20,26000,0
18398119,Male,40,125000,1
11906011,Male,40,107000,1
19084157,Male,54,40000,1
19830580,Female,44,77000,0
19667791,Male,27,17000,0
11770212,Female,36,42000,0
11118849,Male,25,63000,0
12278127,Male,33,48000,0
17877381,Female,53,57000,1
18340682,Male,32,89000,1
19030622,Male,47,85000,1
12520654,Male,25,125000,0
17378952,Male,40,94000,0
19694043,Male,52,61000,1
12697867,Female,48,53000,1
15714610,Female,41,40000,1
13276293,Male,55,92000,1
10935687,Male,35,41000,1
10256533,Female,48,125000,0
14994065,Male,19,137000,0
14358394,Female,25,79000,0
16115616,Female,31,64000,1
15523923,Female,40,144000,1
19881906,Male,39,136000,1
19228804,Male,48,79000,1
11171184,Male,33,149000,1
19532522,Male,45,18000,1
12669234,Male,34,146000,1
13325320,Female,30,93000,1
16193254,Female,36,120000,0
19205640,Male,19,61000,0
17949202,Female,44,108000,1
19374923,Female,18,75000,0
11732569,Female,18,126000,0
19657630,Female,46,53000,1
18229297,Male,31,61000,0
16216935,Female,58,37000,1
10258576,Female,29,81000,0
11487889,Female,55,61000,1
19870071,Male,59,136000,0
10316184,Female,36,124000,1
10544230,Male,31,21000,1
18957131,Male,51,98000,0
10043085,Female,47,34000,0
19770152,Female,47,17000,1
11362275,Male,27,115000,0
15449855,Female,36,20000,0
17354758,Male,41,107000,1
11525158,Female,51,57000,1
15271786,Male,26,112000,0
14170990,Female,38,96000,1
10281971,Male,32,77000,0
15154908,Male,49,127000,1
11812076,Female,35,82000,1
15250398,Male,27,33000,0
16014138,Male,53,112000,1
15928103,Male,59,37000,0
14846123,Male,46,109000,1
17747853,Female,44,104000,0
17778813,Male,34,109000,1
15391649,Male,59,22000,0
11360640,Female,34,101000,0
19484630,Male,38,135000,0
17326858,Female,57,115000,1
15725206,Male,33,140000,1
11970688,Female,35,80000,1
12145932,Male,19,61000,0
19206161,Male,54,105000,1
10845113,Female,50,93000,1
12692387,Female,46,36000,0
16363181,Female,54,37000,1
10740458,Female,19,122000,1
12013406,Male,39,47000,1
15414976,Female,24,84000,0
15179799,Male,37,119000,1
11572312,Female,31,68000,0
13699774,Male,53,45000,1
10427820,Female,48,63000,1
14031686,Male,35,116000,0
